,Unnamed: 0,Origin (UTC),Country,Lat,Long,Depth (km),Magnitude,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,MaxDeaths
183,183,07-11-76 04:00,Iran ,33.82,59.18,6.5,6.0 Mw ,17.0,17.0,17.0,16.0,,17.0
184,184,27-11-79 17:10,Iran ,34.056,59.754,7.4,7.0 Mw ,17.0,17.0,17.0,16.0,,17.0
185,185,24-02-81 20:53,Greece ,38.159,22.976,16.2,6.7 Mw ,16.0,16.0,21.0,22.0,,22.0
186,186,17-08-83 12:17,Philippines ,18.206,120.785,29,6.6 Mw ,16.0,16.0,24.0,19.0,,24.0
187,187,05-04-86 20:14,Peru ,-13.402,-71.757,49,5.2 Mw ,16.0,16.0,16.0,15.0,,16.0
188,188,15-06-99 20:42,Mexico  ,18.381,-97.445,63,6.9 Mw ,16.0,20.0,17.0,15.0,,20.0
189,189,03-03-02 12:08,Afghanistan  ,36.508,70.503,204,7.3 Mw ,16.0,166.0,166.0,150.0,,166.0
190,190,21-07-03 15:16,China ,25.958,101.26,35,5.9 Mw ,16.0,16.0,16.0,16.0,,16.0
191,191,26-11-05 00:49,China  ,29.714,115.663,10.5,5.2 Mw ,16.0,16.0,,,,16.0
192,192,25-09-68 10:38,Mexico ,15.551,-92.66,122.4,5.8 mb ,15.0,15.0,48.0,15.0,,48.0
193,193,31-10-70 17:53,Papua New Guinea  ,-4.907,145.471,8.1,7.3 Muk ,15.0,15.0,5.0,15.0,,15.0
194,194,17-03-73 08:30,Philippines ,13.415,122.804,44.3,7.5 Muk ,15.0,15.0,15.0,14.0,,15.0
195,195,12-09-79 05:17,Indonesia ,-1.682,135.974,17.6,7.5 Mw ,15.0,15.0,15.0,2.0,,15.0
196,196,23-08-80 21:36,India ,32.922,75.693,14.5,5.5 Mw ,15.0,15.0,15.0,13.0,,15.0
197,197,18-10-81 04:31,Colombia ,8.111,-72.501,39.3,5.9 Mw ,15.0,15.0,15.0,10.0,,15.0
198,198,05-05-86 03:35,Turkey ,37.999,37.781,4.1,6.0 Mw ,15.0,15.0,15.0,15.0,,15.0
199,199,14-11-86 21:20,Taiwan ,23.974,121.727,34,7.3 Mw ,15.0,15.0,13.0,,,15.0
200,200,19-03-97 19:57,Pakistan ,34.79,71.523,15,4.9 mb ,15.0,15.0,15.0,,,15.0
201,201,30-09-99 16:31,Mexico  ,16.055,-96.905,40,7.4 Mw ,15.0,15.0,35.0,31.0,,35.0
202,202,05-03-02 21:16,Philippines ,6.028,124.218,31,7.5 Mw ,15.0,15.0,15.0,15.0,,15.0
203,203,26-10-69 15:36,Bosnia and Herzegovina ,44.807,17.353,15,5.6 Ms ,14.0,14.0,20.0,15.0,,20.0
204,204,07-04-70 05:34,Philippines ,15.772,121.659,28.3,7.2 Mw ,14.0,14.0,15.0,14.0,,15.0
205,205,21-07-95 22:44,China ,36.436,103.166,7.4,5.6 Mw ,14.0,14.0,14.0,14.0,,14.0
206,206,12-11-96 16:59,Peru ,-14.959,-75.562,21,7.7 Mw ,14.0,14.0,15.0,14.0,,15.0
207,207,28-02-69 02:40,Portugal  ,35.923,-10.568,32.5,7.8 Mw ,13.0,13.0,13.0,,,13.0
208,208,25-12-82 12:28,Indonesia ,-8.43,122.97,6.7,5.9 Mw ,13.0,13.0,13.0,13.0,,13.0
209,209,30-05-90 10:40,Romania ,45.855,26.649,89,6.9 Mw ,13.0,14.0,14.0,22.0,,22.0
210,210,27-11-05 10:22,"Iran, 2005 Qeshm earthquake ",26.786,55.833,18.4,5.9 Mw ,13.0,13.0,,13.0,,13.0
211,211,13-06-08 23:43,Japan  ,39.03,140.881,7,6.9 Mw ,13.0,13.0,,13.0,,13.0
212,212,29-09-69 20:03,South Africa ,-33.19,19.336,15,6.3 Ms ,12.0,12.0,12.0,9.0,,12.0
213,213,27-12-89 23:26,Australia  ,-33.02,151.602,9.7,5.5 Md ,12.0,12.0,9.0,,,12.0
214,214,23-07-91 19:44,Peru ,-15.707,-71.721,24.2,5.2 Mw ,12.0,92.0,92.0,11.0,,92.0
215,215,21-01-97 01:48,China  ,39.536,76.879,15,5.9 Mw ,12.0,12.0,12.0,12.0,,12.0
216,216,10-04-98 15:00,Iran ,32.447,60.063,7,5.7 Mw ,12.0,12.0,12.0,,,12.0
217,217,24-06-72 15:29,Afghanistan ,36.255,69.684,31.1,6.1 Ms ,11.0,11.0,11.0,,,11.0
218,218,13-07-74 01:18,Panama ,7.737,-77.631,3.8,7.3 Ms ,11.0,11.0,11.0,,,11.0
219,219,15-09-76 03:15,Italy  ,46.314,13.206,0.9,6.0 Mw ,11.0,11.0,11.0,,,11.0
220,220,15-04-89 20:34,China ,29.955,99.202,13.8,6.4 Mw ,11.0,11.0,8.0,8.0,,11.0
221,221,04-03-90 19:46,Pakistan ,28.906,66.354,8.3,6.0 Mw ,11.0,11.0,11.0,11.0,,11.0
222,222,25-10-90 04:53,Afghanistan ,35.09,70.429,110.2,5.8 Mw ,11.0,11.0,11.0,,,11.0
223,223,11-07-95 21:46,Burma ,21.948,99.103,9.2,6.8 Mw ,11.0,11.0,11.0,11.0,,11.0
224,224,26-09-97 09:40,Italy  ,43.078,12.781,6,6.0 Mw ,11.0,11.0,11.0,14.0,,14.0
225,225,06-12-00 17:11,Turkmenistan ,39.532,54.801,30.6,7.0 Mw ,11.0,11.0,11.0,11.0,,11.0
226,226,01-11-02 22:09,Pakistan ,35.393,74.627,27.5,5.3 Mw ,11.0,11.0,,17.0,,17.0
227,227,01-12-03 01:38,Kazakhstan ,42.885,80.546,17,6.0 Mw ,11.0,11.0,11.0,11.0,,11.0
228,228,05-01-74 08:33,Peru ,-12.351,-76.307,91.9,6.6 Muk ,10.0,10.0,10.0,,,10.0
229,229,15-06-82 23:24,China ,31.871,99.872,10.3,5.6 Mw ,10.0,10.0,11.0,10.0,,11.0
230,230,15-09-85 02:42,Indonesia ,-4.064,136.093,4.2,6.3 Mw ,10.0,10.0,10.0,10.0,,10.0
231,231,22-11-91 00:40,Yemen ,13.887,44.068,10,4.7 mb ,10.0,10.0,11.0,10.0,,11.0
232,232,09-07-98 05:19,Portugal ,38.621,-28.566,9,6.1 Mw ,10.0,10.0,10.0,10.0,,10.0
233,233,14-02-04 10:30,Pakistan ,34.751,73.178,11,5.4 Mw ,10.0,24.0,,24.0,,24.0
234,234,25-03-04 19:30,Turkey ,39.804,40.721,56.3,5.6 Mw ,10.0,10.0,,9.0,,10.0
235,235,06-10-76 09:12,Ecuador ,-0.726,-78.732,4.7,5.7 mb ,9.0,9.0,9.0,,,9.0
236,236,29-11-78 19:52,Mexico ,16.011,-96.603,24.8,7.8 Mw ,9.0,9.0,9.0,9.0,,9.0
237,237,07-06-82 10:59,Mexico ,16.518,-98.347,18.9,6.9 Mw ,9.0,9.0,9.0,,,9.0
238,238,10-03-89 21:49,Malawi  ,-13.708,34.485,30,6.3 Mw ,9.0,9.0,9.0,,,9.0
239,239,22-11-95 04:15,Egypt  ,28.762,34.808,14,7.2 Mw ,9.0,10.0,10.0,10.0,,10.0
240,240,11-04-97 05:34,China ,39.536,76.892,20,6.1 Mw ,9.0,9.0,9.0,9.0,,9.0
241,241,27-05-03 17:11,Algeria ,36.865,3.592,8,5.7 Mw ,9.0,9.0,,9.0,,9.0
242,242,25-10-03 12:41,China ,38.386,100.978,12,5.8 Mw ,9.0,9.0,9.0,9.0,,9.0
243,243,16-07-07 01:13,Japan  ,37.52,138.46,12,6.6 Mw ,9.0,9.0,,9.0,,9.0
244,244,09-04-76 07:08,Ecuador ,0.85,-79.564,17,6.6 Mw ,8.0,8.0,8.0,10.0,,10.0
245,245,15-12-79 00:02,Indonesia ,-3.339,102.567,13,6.5 Mw ,8.0,8.0,8.0,5.0,,8.0
246,246,18-08-80 15:07,Ecuador ,-1.987,-80.002,55.9,5.9 Mw ,8.0,8.0,8.0,8.0,,8.0
247,247,18-04-81 00:32,Peru ,-13.116,-74.373,40.8,5.5 Mw ,8.0,8.0,8.0,8.0,,8.0
248,248,01-10-87 14:42,United States  ,34.061,-118.135,14.4,5.9 Mw ,8.0,8.0,8.0,8.0,,8.0
249,249,15-06-91 00:59,Georgia ,42.406,44.011,6,6.2 Mw ,8.0,8.0,8.0,8.0,,8.0
250,250,11-09-92 03:57,Democratic Republic of the Congo ,-6.151,26.66,11,6.3 Mw ,8.0,8.0,8.0,9.0,,9.0
251,251,04-03-95 23:23,Colombia ,1.282,-77.307,5,4.4 mb ,8.0,8.0,8.0,8.0,,8.0
252,252,01-01-96 08:05,Indonesia ,0.714,119.905,24,7.9 Mw ,8.0,9.0,10.0,9.0,,10.0
253,253,10-10-02 10:50,Indonesia ,-1.7,134.23,16,7.5 Mw ,8.0,8.0,8.0,8.0,,8.0
254,254,20-11-04 08:07,Costa Rica ,9.623,-84.165,16,6.4 Mw ,8.0,8.0,,8.0,,8.0
255,255,25-05-08 08:21,China ,32.56,105.423,18,6.1 Mw ,8.0,8.0,,,,8.0
256,256,20-03-72 07:33,Peru ,-6.81,-76.78,49.8,6.9 Muk ,7.0,7.0,7.0,,,7.0
257,257,07-03-75 07:04,Iran ,27.477,56.224,11,6.1 Ms ,7.0,7.0,7.0,,,7.0
258,258,12-11-80 06:58,Peru ,-13.347,-74.545,71,4.9 mb ,7.0,7.0,7.0,,,7.0
259,259,21-01-94 02:24,Indonesia ,1.043,127.773,20,6.9 Mw ,7.0,7.0,7.0,7.0,,7.0
260,260,19-01-95 15:05,Colombia ,5.044,-72.936,17,6.5 Mw ,7.0,7.0,7.0,7.0,,7.0
261,261,15-10-97 01:03,Chile  ,-30.878,-71.167,58,7.1 Mw ,7.0,8.0,8.0,8.0,,8.0
262,262,14-01-00 23:37,China  ,25.567,101.071,24.9,5.9 Mw ,7.0,7.0,7.0,,,7.0
263,263,06-07-00 19:30,Nicaragua ,11.928,-86.066,15,5.4 Mw ,7.0,7.0,7.0,7.0,,7.0
264,264,17-12-06 21:39,Indonesia ,0.626,99.859,30,5.8 Mw ,7.0,7.0,,,,7.0
265,265,17-05-76 02:58,Uzbekistan ,40.373,63.428,14.8,6.7 Mw ,6.0,6.0,6.0,0.0,,6.0
266,266,22-06-81 17:53,Peru ,-13.185,-74.463,15.6,5.8 Mw ,6.0,6.0,6.0,,,6.0
267,267,12-12-81 20:26,Pakistan ,29.912,67.08,35,4.6 mb ,6.0,6.0,6.0,,,6.0
268,268,26-01-85 03:06,Argentina  ,-33.109,-68.593,19.2,5.9 Mw ,6.0,6.0,6.0,6.0,,6.0
269,269,24-04-85 01:07,Philippines ,16.541,120.812,5.3,6.1 Mw ,6.0,6.0,6.0,,,6.0
270,270,27-10-85 19:34,Algeria ,36.386,6.846,30.4,5.8 Mw ,6.0,6.0,5.0,30.0,,30.0
271,271,26-04-86 07:35,India ,32.118,76.397,10.2,5.5 Mw ,6.0,6.0,6.0,6.0,,6.0
272,272,17-06-90 04:51,Pakistan ,27.39,65.665,13.7,6.1 Mw ,6.0,6.0,,0.0,,6.0
273,273,04-03-92 11:57,Iran ,31.605,50.758,25,5.1 Mw ,6.0,6.0,6.0,5.0,,6.0
274,274,23-02-94 08:02,Iran ,30.788,60.532,7,6.1 Mw ,6.0,6.0,6.0,9.0,,9.0
275,275,22-07-99 10:42,Bangladesh ,21.658,91.933,25,5.2 mb ,6.0,6.0,6.0,6.0,,6.0
276,276,13-09-99 11:55,Turkey ,40.736,30.089,13,5.8 Mw ,6.0,7.0,6.0,6.0,,7.0
277,277,15-12-00 16:44,Turkey ,38.451,31.265,12,6.0 Mw ,6.0,6.0,6.0,,,6.0
278,278,01-03-04 23:55,Turkey ,38.058,38.277,5,3.8 Md ,6.0,6.0,,,,6.0
279,279,05-12-05 12:19,Tanzania  ,-6.246,29.789,20,6.8 Mw ,6.0,6.0,,6.0,,6.0
280,280,15-10-71 10:33,Peru ,-14.183,-73.399,80,5.7 mb ,5.0,5.0,14.0,,,14.0
281,281,15-05-76 21:55,Peru ,-11.66,-74.419,19,6.7 Mw ,5.0,5.0,5.0,,,5.0
282,282,11-09-76 16:31,Italy ,46.339,13.181,4.2,5.5 Ms ,5.0,5.0,5.0,,,5.0
283,283,15-04-78 23:33,Italy ,38.381,15.073,17,6.0 Mw ,5.0,5.0,5.0,,,5.0
284,284,29-07-78 14:37,Guatemala ,14.758,-90.99,15,4.9 mb ,5.0,5.0,17.0,,,17.0
285,285,14-03-79 11:07,Mexico ,17.758,-101.221,24.7,7.4 Mw ,5.0,5.0,15.0,5.0,,15.0
286,286,19-09-79 21:35,Italy ,42.773,13.01,15,5.8 Mw ,5.0,5.0,5.0,5.0,,5.0
287,287,05-07-83 12:01,Turkey  ,40.309,27.254,2.6,6.1 Mw ,5.0,5.0,5.0,,,5.0
288,288,04-10-83 18:52,Chile ,-26.539,-70.502,23.9,7.6 Mw ,5.0,5.0,5.0,,,5.0
289,289,24-06-84 18:18,Dominican Republic ,18.039,-69.233,24.8,5.2 Mw ,5.0,5.0,,,,5.0
290,290,29-07-85 07:54,Afghanistan ,36.165,70.857,100.1,7.4 Mw ,5.0,5.0,5.0,5.0,,5.0
291,291,08-08-87 15:48,Chile ,-19.092,-70.005,70.7,7.2 Mw ,5.0,5.0,5.0,5.0,,5.0
292,292,03-11-88 14:47,Guatemala ,13.908,-90.501,75.2,6.6 Mw ,5.0,5.0,5.0,5.0,,5.0
293,293,12-03-93 14:01,Wallis and Futuna ,-14.409,-178.162,10,6.3 Mw ,5.0,5.0,5.0,5.0,,5.0
294,294,14-03-98 19:40,Iran ,30.126,57.585,13.8,6.6 Mw ,5.0,5.0,5.0,5.0,,5.0
295,295,17-07-98 04:51,Taiwan ,23.503,120.711,11,5.7 Mw ,5.0,5.0,5.0,,,5.0
296,296,13-11-98 13:01,Iran ,27.791,53.642,12.5,5.4 Mw ,5.0,5.0,5.0,5.0,,5.0
297,297,19-11-98 11:38,China ,27.263,100.955,4.8,5.6 Mw ,5.0,5.0,6.0,3.0,,6.0
298,298,11-12-98 20:16,Afghanistan ,36.518,71,219,5.6 Mw ,5.0,5.0,5.0,,,5.0
299,299,21-12-99 14:14,Indonesia ,-6.823,105.498,42,6.4 Mw ,5.0,5.0,5.0,5.0,,5.0
300,300,25-11-00 18:09,Azerbaijan  ,40.198,49.929,51.6,6.8 Mw ,5.0,31.0,5.0,31.0,,31.0
301,301,31-03-02 06:52,Taiwan ,24.3,122.142,34,7.1 Mw ,5.0,5.0,5.0,4.0,,5.0
302,302,25-04-02 17:41,Georgia ,41.767,44.857,34.8,4.8 mb ,5.0,5.0,5.0,6.0,,6.0
303,303,25-02-03 03:52,China  ,39.402,77.358,18.7,5.3 Mw ,5.0,5.0,5.0,,,5.0
304,304,16-02-04 14:44,Indonesia ,-0.516,100.548,12.7,5.0 Mw ,5.0,5.0,,5.0,,5.0
305,305,13-06-05 22:44,Chile ,-20.007,-69.198,105.2,7.8 Mw ,5.0,11.0,,11.0,,11.0
306,306,26-09-05 01:55,Peru  ,-5.721,-76.414,120.9,7.5 Mw ,5.0,5.0,,5.0,,5.0
307,307,12-12-05 21:47,Afghanistan  ,36.285,71.12,223.8,6.5 Mw ,5.0,5.0,,5.0,,5.0
308,308,24-04-72 09:57,Taiwan  ,23.604,121.534,21,6.9 Ms ,4.0,4.0,5.0,,,5.0
309,309,24-11-73 14:05,Algeria ,36.201,4.473,33.1,5.1 mb ,4.0,4.0,4.0,,,4.0
310,310,13-03-76 16:30,Guatemala ,14.725,-91.006,15,5.4 mb ,4.0,4.0,4.0,,,4.0
311,311,02-04-76 16:58,Turkey ,39.801,43.689,25,4.6 mb ,4.0,4.0,4.0,,,4.0
312,312,29-04-76 22:18,Turkey ,40.935,42.875,35,5.5 Ms ,4.0,4.0,4.0,,,4.0
313,313,19-08-76 01:12,Turkey ,37.743,29.015,11.7,5.0 mb ,4.0,4.0,4.0,4.0,,4.0
314,314,08-12-76 08:38,South Africa ,-27.979,26.677,10,5.2 mb ,4.0,4.0,4.0,,,4.0
315,315,27-10-79 14:35,Guatemala ,13.829,-90.841,56.5,6.8 Mw ,4.0,4.0,7.0,,,7.0
316,316,14-02-81 17:27,Italy ,40.995,14.614,4.9,4.9 ML ,4.0,12.0,,,,12.0
317,317,16-02-84 17:18,Afghanistan ,36.447,70.84,208.1,6.4 Mw ,4.0,4.0,4.0,4.0,,4.0
318,318,11-09-85 20:45,China ,39.356,75.415,21.2,6.1 Mw ,4.0,4.0,3.0,,,4.0
319,319,20-11-89 03:21,China ,29.883,106.826,24.7,5.2 mb ,4.0,4.0,7.0,4.0,,7.0
320,320,14-06-90 07:40,Philippines ,11.39,122.045,18.1,7.1 Mw ,4.0,4.0,4.0,4.0,,4.0
321,321,11-08-90 02:59,Ecuador ,-0.172,-78.483,18.4,5.3 Mw ,4.0,4.0,4.0,4.0,,4.0
322,322,28-08-92 00:50,Pakistan ,29.211,66.82,6.4,5.5 Mw ,4.0,4.0,4.0,4.0,,4.0
323,323,22-10-92 17:39,Egypt ,29.755,31.535,10,4.2 Md ,4.0,4.0,4.0,,,4.0
324,324,02-03-94 03:38,Haiti ,19.941,-72.814,6.7,5.4 Mw ,4.0,4.0,4.0,,,4.0
325,325,01-06-01 14:00,Afghanistan ,35.105,69.324,44.5,5.0 Mw ,4.0,4.0,4.0,4.0,,4.0
326,326,09-08-01 02:06,Peru ,-14.348,-72.68,9.6,5.8 Mw ,4.0,4.0,4.0,4.0,,4.0
327,327,08-09-02 18:44,Papua New Guinea ,-3.262,142.94,13,7.6 Mw ,4.0,4.0,4.0,4.0,,4.0
328,328,16-08-03 10:58,China ,43.779,119.718,23.3,5.4 Mw ,4.0,4.0,4.0,4.0,,4.0
329,329,14-11-03 18:49,China ,27.462,103.974,35,5.6 Mw ,4.0,4.0,4.0,4.0,,4.0
330,330,10-08-04 10:26,China ,27.318,103.917,13.2,5.3 Mw ,4.0,4.0,,4.0,,4.0
331,331,03-05-05 07:21,Iran ,33.655,48.669,27.1,4.9 Mw ,4.0,4.0,,,,4.0
332,332,22-02-06 22:19,Mozambique ,-21.324,33.583,11,7.0 Mw ,4.0,4.0,,,,4.0
333,333,20-03-06 19:44,Algeria ,36.623,5.328,10,5.2 Mw ,4.0,4.0,,4.0,,4.0
334,334,05-02-70 22:05,Philippines ,12.6,122.058,7.7,6.6 Ms ,3.0,3.0,3.0,,,3.0
335,335,12-06-74 16:25,Venezuela ,10.509,-63.429,7.9,6.5 Muk ,3.0,3.0,5.0,,,5.0
336,336,05-04-75 09:34,Venezuela ,10.065,-69.666,22.4,6.3 Muk ,3.0,3.0,3.0,,,3.0
337,337,30-12-75 14:36,Turkey ,38.595,40.526,31.8,4.6 mb ,3.0,3.0,,,,3.0
338,338,26-05-77 01:35,Iran ,38.896,44.324,16.9,5.6 Mw ,3.0,3.0,3.0,3.0,,3.0
339,339,31-08-77 00:42,Colombia ,7.351,-76.159,21.3,6.5 Mw ,3.0,3.0,3.0,,,3.0
340,340,10-12-77 05:46,Iran ,27.687,56.578,13.9,5.6 Mw ,3.0,3.0,,3.0,,3.0
341,341,22-12-80 12:51,Iran ,34.427,50.634,16.4,5.7 Mw ,3.0,3.0,3.0,4.0,,4.0
342,342,25-10-81 03:22,Mexico ,18.115,-102.009,19,7.2 Mw ,3.0,3.0,9.0,3.0,,9.0
343,343,28-03-82 23:24,Peru ,-12.743,-76.01,90.8,6.3 Mw ,3.0,3.0,3.0,3.0,,3.0
344,344,29-09-82 05:50,Honduras ,14.494,-89.102,13.9,5.6 Mw ,3.0,3.0,3.0,,,3.0
345,345,15-11-82 20:07,Algeria ,35.585,1.361,7.1,5.2 Mw ,3.0,3.0,3.0,,,3.0
346,346,22-07-83 02:41,Iran ,36.942,49.213,20,5.6 mb ,3.0,3.0,3.0,3.0,,3.0
347,347,07-05-84 17:49,Italy ,41.738,13.889,21.4,5.9 Mw ,3.0,3.0,7.0,3.0,,7.0
348,348,18-09-84 13:26,Turkey ,40.892,42.241,10,5.5 Mw ,3.0,3.0,3.0,3.0,,3.0
349,349,18-10-84 09:46,Turkey ,40.711,42.447,35,5.4 Mw ,3.0,3.0,3.0,3.0,,3.0
350,350,07-12-86 14:17,Bulgaria ,43.278,26.003,4.8,5.6 Mw ,3.0,3.0,3.0,3.0,,3.0
351,351,02-10-87 22:27,Peru  ,-8.166,-77.961,29.8,5.6 Mw ,3.0,3.0,3.0,,,3.0
352,352,06-08-88 00:36,Burma ,25.105,95.126,90.5,7.2 Mw ,3.0,35.0,3.0,2.0,,35.0
353,353,25-04-89 14:29,Mexico ,16.779,-99.275,19,6.9 Mw ,3.0,3.0,3.0,3.0,,3.0
354,354,20-11-89 04:19,Iran ,29.898,57.716,14.9,5.9 Mw ,3.0,3.0,3.0,,,3.0
355,355,18-04-90 13:39,Indonesia ,1.195,122.816,26,7.6 Mw ,3.0,3.0,3.0,5.0,,5.0
356,356,15-05-92 08:08,Uzbekistan ,41.001,72.449,37.1,6.2 Ms ,3.0,3.0,3.0,9.0,,9.0
357,357,18-04-93 09:16,Peru ,-11.721,-76.513,106,6.2 Mw ,3.0,6.0,6.0,6.0,,6.0
358,358,16-10-93 03:05,Papua New Guinea ,-5.877,146.28,27,6.3 Mw ,3.0,3.0,3.0,,,3.0
359,359,20-06-94 09:09,Iran ,29.053,52.671,10.8,5.9 Mw ,3.0,3.0,3.0,2.0,,3.0
360,360,28-12-94 12:19,Japan ,40.523,143.43,27,7.7 Mw ,3.0,3.0,3.0,2.0,,3.0
361,361,30-07-95 05:11,Chile  ,-23.34,-70.253,46,8.0 Mw ,3.0,3.0,3.0,3.0,,3.0
362,362,14-09-95 14:04,Mexico ,16.849,-98.608,23,7.3 Mw ,3.0,3.0,3.0,6.0,,6.0
363,363,04-08-98 18:59,Ecuador  ,-0.594,-80.313,20,7.1 Mw ,3.0,3.0,3.0,3.0,,3.0
364,364,27-08-98 09:03,China ,39.572,77.298,28,6.3 Mw ,3.0,3.0,3.0,,,3.0
365,365,17-05-00 03:25,Taiwan ,24.167,121.078,15,5.4 Mw ,3.0,3.0,3.0,,,3.0
366,366,23-02-01 00:09,China ,29.459,101.079,7,5.6 Mw ,3.0,3.0,3.0,3.0,,3.0
367,367,09-01-02 06:45,Tajikistan ,38.644,69.844,28.6,5.2 Mw ,3.0,3.0,3.0,3.0,,3.0
368,368,02-11-02 01:26,Indonesia ,2.837,96.088,30,7.2 Mw ,3.0,3.0,3.0,3.0,,3.0
369,369,16-10-03 12:28,China ,25.882,101.256,35,5.6 Mw ,3.0,3.0,3.0,3.0,,3.0
370,370,24-02-04 02:14,Burundi ,-3.36,29.446,15.7,4.7 mb ,3.0,3.0,,3.0,,3.0
371,371,05-04-04 21:24,Afghanistan ,36.48,71.042,175,6.5 Mw ,3.0,3.0,,,,3.0
372,372,29-07-06 00:11,Tajikistan  ,37.255,68.828,34,5.6 Mw ,3.0,3.0,,3.0,,3.0
373,373,21-01-07 11:27,Indonesia ,1.065,126.282,22,7.5 Mw ,3.0,4.0,,,,4.0
374,374,02-06-07 21:34,China ,23.02,101.01,5,6.1 Mw ,3.0,3.0,,3.0,,3.0
375,375,21-07-07 22:44,Tajikistan ,38.936,70.485,10,5.2 Mw ,3.0,12.0,,11.0,,12.0
376,376,25-11-07 16:02,Indonesia ,-8.292,118.37,20,6.5 Mw ,3.0,3.0,,,,3.0
377,377,20-02-08 08:08,Indonesia ,2.768,95.964,26,7.3 Mw ,3.0,3.0,,3.0,,3.0
378,378,20-09-68 06:00,Venezuela ,10.731,-62.719,102.6,6.2 mb ,2.0,2.0,3.0,,,3.0
379,379,31-03-69 07:15,Egypt ,27.511,33.936,3.5,6.8 Ms ,2.0,2.0,2.0,,,2.0
380,380,14-11-70 07:58,Taiwan ,22.839,121.363,27.6,6.1 Ms ,2.0,2.0,2.0,,,2.0
381,381,01-02-74 00:01,Turkey ,38.54,27.263,11.9,5.4 ML ,2.0,2.0,,,,2.0
382,382,03-08-74 18:16,Japan ,36.016,139.901,51.4,5.6 mb ,2.0,2.0,,,,2.0
383,383,13-03-75 15:26,Chile ,-29.91,-71.393,31.3,6.9 Ms ,2.0,2.0,2.0,,,2.0
